"Time stamp","Value","Events","Comment","User"
"2022/02/28 08:00:00","12 645 442,88","","",""
"2022/02/28 07:30:00","12 645 225,43","","",""
"2022/02/28 07:00:00","12 645 008,36","","",""
"2022/02/28 06:30:00","12 644 792,40","","",""
"2022/02/28 06:00:00","12 644 575,11","","",""
"2022/02/28 05:30:00","12 644 358,90","","",""
"2022/02/28 05:00:00","12 644 142,61","","",""
"2022/02/28 04:30:00","12 643 926,88","","",""
"2022/02/28 04:00:00","12 643 710,54","","",""
"2022/02/28 03:30:00","12 643 494,35","","",""
"2022/02/28 03:00:00","12 643 278,00","","",""
"2022/02/28 02:30:00","12 643 061,74","","",""
"2022/02/28 02:00:00","12 642 845,80","","",""
"2022/02/28 01:30:00","12 642 629,62","","",""
"2022/02/28 01:00:00","12 642 413,73","","",""
"2022/02/28 00:30:00","12 642 197,12","","",""
"2022/02/28 00:00:00","12 641 980,73","","",""
"2022/02/27 23:30:00","12 641 763,97","","",""
"2022/02/27 23:00:00","12 641 547,13","","",""
"2022/02/27 22:30:00","12 641 330,24","","",""
"2022/02/27 22:00:00","12 641 112,92","","",""
"2022/02/27 21:30:00","12 640 894,96","","",""
"2022/02/27 21:00:00","12 640 677,23","","",""
"2022/02/27 20:30:00","12 640 459,40","","",""
"2022/02/27 20:00:00","12 640 241,81","","",""
"2022/02/27 19:30:00","12 640 023,52","","",""
"2022/02/27 19:00:00","12 639 805,75","","",""
"2022/02/27 18:30:00","12 639 587,83","","",""
"2022/02/27 18:00:00","12 639 370,77","","",""
"2022/02/27 17:30:00","12 639 152,60","","",""
"2022/02/27 17:00:00","12 638 935,39","","",""
"2022/02/27 16:30:00","12 638 717,79","","",""
"2022/02/27 16:00:00","12 638 500,73","","",""
"2022/02/27 15:30:00","12 638 282,97","","",""
"2022/02/27 15:00:00","12 638 065,54","","",""
"2022/02/27 14:30:00","12 637 848,86","","",""
"2022/02/27 14:00:00","12 637 630,53","","",""
"2022/02/27 13:30:00","12 637 413,13","","",""
"2022/02/27 13:00:00","12 637 196,68","","",""
"2022/02/27 12:30:00","12 636 978,98","","",""
"2022/02/27 12:00:00","12 636 761,44","","",""
"2022/02/27 11:30:00","12 636 543,84","","",""
"2022/02/27 11:00:00","12 636 326,77","","",""
"2022/02/27 10:30:00","12 636 109,16","","",""
"2022/02/27 10:00:00","12 635 892,02","","",""
"2022/02/27 09:30:00","12 635 674,86","","",""
"2022/02/27 09:00:00","12 635 457,89","","",""
"2022/02/27 08:30:00","12 635 240,59","","",""
"2022/02/27 08:00:00","12 635 023,28","","",""
"2022/02/27 07:30:00","12 634 806,30","","",""
"2022/02/27 07:00:00","12 634 589,46","","",""
"2022/02/27 06:30:00","12 634 373,33","","",""
"2022/02/27 06:00:00","12 634 155,88","","",""
"2022/02/27 05:30:00","12 633 939,27","","",""
"2022/02/27 05:00:00","12 633 722,89","","",""
"2022/02/27 04:30:00","12 633 506,36","","",""
"2022/02/27 04:00:00","12 633 290,30","","",""
"2022/02/27 03:30:00","12 633 072,58","","",""
"2022/02/27 03:00:00","12 632 856,89","","",""
"2022/02/27 02:30:00","12 632 638,86","","",""
"2022/02/27 02:00:00","12 632 421,06","","",""
"2022/02/27 01:30:00","12 632 204,64","","",""
"2022/02/27 01:00:00","12 631 986,81","","",""
"2022/02/27 00:30:00","12 631 769,90","","",""
"2022/02/27 00:00:00","12 631 552,04","","",""
"2022/02/26 23:30:00","12 631 335,04","","",""
"2022/02/26 23:00:00","12 631 117,89","","",""
"2022/02/26 22:30:00","12 630 900,31","","",""
"2022/02/26 22:00:00","12 630 682,80","","",""
"2022/02/26 21:30:00","12 630 465,42","","",""
"2022/02/26 21:00:00","12 630 246,92","","",""
"2022/02/26 20:30:00","12 630 029,67","","",""
"2022/02/26 20:00:00","12 629 811,22","","",""
"2022/02/26 19:30:00","12 629 593,64","","",""
"2022/02/26 19:00:00","12 629 375,79","","",""
"2022/02/26 18:30:00","12 629 158,91","","",""
"2022/02/26 18:00:00","12 628 940,90","","",""
"2022/02/26 17:30:00","12 628 723,48","","",""
"2022/02/26 17:00:00","12 628 506,77","","",""
"2022/02/26 16:30:00","12 628 289,34","","",""
"2022/02/26 16:00:00","12 628 072,30","","",""
"2022/02/26 15:30:00","12 627 855,13","","",""
"2022/02/26 15:00:00","12 627 638,35","","",""
"2022/02/26 14:30:00","12 627 421,11","","",""
"2022/02/26 14:00:00","12 627 203,56","","",""
"2022/02/26 13:30:00","12 626 986,23","","",""
"2022/02/26 13:00:00","12 626 768,90","","",""
"2022/02/26 12:30:00","12 626 551,72","","",""
"2022/02/26 12:00:00","12 626 333,91","","",""
"2022/02/26 11:30:00","12 626 116,18","","",""
"2022/02/26 11:00:00","12 625 899,02","","",""
"2022/02/26 10:30:00","12 625 681,16","","",""
"2022/02/26 10:00:00","12 625 463,60","","",""
"2022/02/26 09:30:00","12 625 246,59","","",""
"2022/02/26 09:00:00","12 625 028,87","","",""
"2022/02/26 08:30:00","12 624 811,92","","",""
"2022/02/26 08:00:00","12 624 594,34","","",""
"2022/02/26 07:30:00","12 624 377,62","","",""
"2022/02/26 07:00:00","12 624 160,29","","",""
"2022/02/26 06:30:00","12 623 943,41","","",""
"2022/02/26 06:00:00","12 623 726,02","","",""
"2022/02/26 05:30:00","12 623 509,48","","",""
"2022/02/26 05:00:00","12 623 291,91","","",""
"2022/02/26 04:30:00","12 623 075,73","","",""
"2022/02/26 04:00:00","12 622 859,17","","",""
"2022/02/26 03:30:00","12 622 641,78","","",""
"2022/02/26 03:00:00","12 622 424,88","","",""
"2022/02/26 02:30:00","12 622 208,24","","",""
"2022/02/26 02:00:00","12 621 991,01","","",""
"2022/02/26 01:30:00","12 621 774,20","","",""
"2022/02/26 01:00:00","12 621 557,14","","",""
"2022/02/26 00:30:00","12 621 339,36","","",""
"2022/02/26 00:00:00","12 621 121,95","","",""
"2022/02/25 23:30:00","12 620 904,42","","",""
"2022/02/25 23:00:00","12 620 687,09","","",""
"2022/02/25 22:30:00","12 620 469,16","","",""
"2022/02/25 22:00:00","12 620 250,56","","",""
"2022/02/25 21:30:00","12 620 033,15","","",""
"2022/02/25 21:00:00","12 619 814,71","","",""
"2022/02/25 20:30:00","12 619 596,63","","",""
"2022/02/25 20:00:00","12 619 378,77","","",""
"2022/02/25 19:30:00","12 619 160,73","","",""
"2022/02/25 19:00:00","12 618 942,17","","",""
"2022/02/25 18:30:00","12 618 724,52","","",""
"2022/02/25 18:00:00","12 618 506,25","","",""
"2022/02/25 17:30:00","12 618 288,23","","",""
"2022/02/25 17:00:00","12 618 070,09","","",""
"2022/02/25 16:30:00","12 617 852,42","","",""
"2022/02/25 16:00:00","12 617 634,51","","",""
"2022/02/25 15:30:00","12 617 416,34","","",""
"2022/02/25 15:00:00","12 617 198,68","","",""
"2022/02/25 14:30:00","12 616 980,13","","",""
"2022/02/25 14:00:00","12 616 762,00","","",""
